year,economicActivity,employment,hours_worked
2012,Support activities for mining and oil and gas extraction,109335,6.605
2013,Support activities for mining and oil and gas extraction,114490,6.436
2014,Support activities for mining and oil and gas extraction,112765,6.578
2015,Support activities for mining and oil and gas extraction,89605,6.159
2016,Support activities for mining and oil and gas extraction,73375,6.225
2017,Support activities for mining and oil and gas extraction,81755,6.54
2018,Support activities for mining and oil and gas extraction,91080,6.329
2019,Support activities for mining and oil and gas extraction,87520,6.293
1997,"Electric power generation, transmission and distribution",80825,5.148
1998,"Electric power generation, transmission and distribution",82670,5.233
1999,"Electric power generation, transmission and distribution",82090,5.082
2000,"Electric power generation, transmission and distribution",82695,5.121
2001,"Electric power generation, transmission and distribution",82700,5.074
2002,"Electric power generation, transmission and distribution",79920,5.099
2003,"Electric power generation, transmission and distribution",84970,5.101
2004,"Electric power generation, transmission and distribution",88045,5.027
2005,"Electric power generation, transmission and distribution",88525,5.11
2006,"Electric power generation, transmission and distribution",88665,5.038
2007,"Electric power generation, transmission and distribution",90480,5.068
2008,"Electric power generation, transmission and distribution",93605,5.126
2009,"Electric power generation, transmission and distribution",93065,5.175
2010,"Electric power generation, transmission and distribution",97030,5.247
2011,"Electric power generation, transmission and distribution",106515,5.173
2012,"Electric power generation, transmission and distribution",100380,5.041
2013,"Electric power generation, transmission and distribution",97490,5.142
2014,"Electric power generation, transmission and distribution",94460,5.115
2015,"Electric power generation, transmission and distribution",95710,5.126
2016,"Electric power generation, transmission and distribution",97030,5.036
2017,"Electric power generation, transmission and distribution",96755,5.112
2018,"Electric power generation, transmission and distribution",96445,5.156
2019,"Electric power generation, transmission and distribution",97430,5.099
1997,"Natural gas distribution, water, sewage and other systems",26260,4.981
1998,"Natural gas distribution, water, sewage and other systems",26635,5.014
1999,"Natural gas distribution, water, sewage and other systems",27935,4.923
2000,"Natural gas distribution, water, sewage and other systems",27390,5.022
2001,"Natural gas distribution, water, sewage and other systems",28870,4.984
2002,"Natural gas distribution, water, sewage and other systems",30195,5.041
2003,"Natural gas distribution, water, sewage and other systems",29685,5.137
2004,"Natural gas distribution, water, sewage and other systems",30160,5.145
2005,"Natural gas distribution, water, sewage and other systems",30490,5.14
2006,"Natural gas distribution, water, sewage and other systems",32485,5.068
2007,"Natural gas distribution, water, sewage and other systems",31495,5.077
2008,"Natural gas distribution, water, sewage and other systems",29070,5.11
2009,"Natural gas distribution, water, sewage and other systems",29810,5.184
2010,"Natural gas distribution, water, sewage and other systems",31745,5.047
2011,"Natural gas distribution, water, sewage and other systems",30390,5.142
2012,"Natural gas distribution, water, sewage and other systems",28990,4.951
2013,"Natural gas distribution, water, sewage and other systems",25945,5.058
2014,"Natural gas distribution, water, sewage and other systems",26605,4.967
2015,"Natural gas distribution, water, sewage and other systems",26755,5.025
2016,"Natural gas distribution, water, sewage and other systems",26435,5.041
2017,"Natural gas distribution, water, sewage and other systems",24605,4.962
2018,"Natural gas distribution, water, sewage and other systems",24590,4.986
2019,"Natural gas distribution, water, sewage and other systems",24755,4.959
1997,Residential building construction,273975,5.4
1998,Residential building construction,275575,5.452
1999,Residential building construction,267505,5.477
2000,Residential building construction,283720,5.488
2001,Residential building construction,290770,5.444
2002,Residential building construction,325515,5.436
2003,Residential building construction,347945,5.353
2004,Residential building construction,370635,5.46
2005,Residential building construction,388780,5.395
2006,Residential building construction,405515,5.356
2007,Residential building construction,428830,5.397
2008,Residential building construction,440685,5.397
2009,Residential building construction,392865,5.29
2010,Residential building construction,423210,5.34
2011,Residential building construction,419225,5.299
2012,Residential building construction,465000,5.364
2013,Residential building construction,473115,5.337
2014,Residential building construction,475455,5.318
2015,Residential building construction,478400,5.342
2016,Residential building construction,497140,5.315
2017,Residential building construction,526920,5.26
2018,Residential building construction,546940,5.31
2019,Residential building construction,546210,5.255
1997,Non-residential building construction,163275,5.441
1998,Non-residential building construction,161765,5.49
1999,Non-residential building construction,186215,5.504
2000,Non-residential building construction,178625,5.488
2001,Non-residential building construction,166445,5.43
2002,Non-residential building construction,171835,5.466
2003,Non-residential building construction,164885,5.37
2004,Non-residential building construction,170500,5.447
2005,Non-residential building construction,174285,5.43
2006,Non-residential building construction,193245,5.411
2007,Non-residential building construction,197780,5.441
2008,Non-residential building construction,219705,5.474
2009,Non-residential building construction,205425,5.386
2010,Non-residential building construction,207235,5.411
2011,Non-residential building construction,219000,5.405
2012,Non-residential building construction,222060,5.46
2013,Non-residential building construction,216285,5.405
2014,Non-residential building construction,213370,5.389
2015,Non-residential building construction,215340,5.389
2016,Non-residential building construction,198255,5.378
2017,Non-residential building construction,207210,5.293
2018,Non-residential building construction,225105,5.348
2019,Non-residential building construction,234255,5.29
1997,Engineering construction,183865,5.688
1998,Engineering construction,177460,5.647
1999,Engineering construction,178610,5.682
2000,Engineering construction,189720,5.649
2001,Engineering construction,205720,5.729
2002,Engineering construction,192740,5.671
2003,Engineering construction,204210,5.595
2004,Engineering construction,213115,5.677
2005,Engineering construction,247750,5.685
2006,Engineering construction,271830,5.658
2007,Engineering construction,291335,5.721
2008,Engineering construction,330615,5.732
2009,Engineering construction,308060,5.608
2010,Engineering construction,358470,5.638
2011,Engineering construction,387050,5.688
2012,Engineering construction,421850,5.748
2013,Engineering construction,453560,5.745
2014,Engineering construction,464095,5.775
2015,Engineering construction,443190,5.715
2016,Engineering construction,388440,5.633
2017,Engineering construction,390825,5.658
2018,Engineering construction,397900,5.611
2019,Engineering construction,401315,5.534
1997,Repair construction,172295,5.304
1998,Repair construction,187710,5.367
1999,Repair construction,194255,5.416
2000,Repair construction,193935,5.408
2001,Repair construction,200630,5.329
2002,Repair construction,203195,5.34
2003,Repair construction,200865,5.299
2004,Repair construction,204255,5.381
2005,Repair construction,207950,5.31
2006,Repair construction,208385,5.29
2007,Repair construction,230430,5.318
2008,Repair construction,233220,5.345
2009,Repair construction,246545,5.274
2010,Repair construction,240120,5.271
2011,Repair construction,238905,5.312
2012,Repair construction,244510,5.263
2013,Repair construction,247920,5.233
2014,Repair construction,262215,5.247
2015,Repair construction,277590,5.244
2016,Repair construction,279865,5.233
2017,Repair construction,294140,5.216
2018,Repair construction,302300,5.279
2019,Repair construction,313485,5.23
1997,Other activities of the construction industry,5870,5.214
1998,Other activities of the construction industry,5845,5.288
1999,Other activities of the construction industry,5380,5.312
2000,Other activities of the construction industry,6110,5.405
2001,Other activities of the construction industry,7520,5.408
2002,Other activities of the construction industry,8325,5.381
2003,Other activities of the construction industry,8475,5.348
2004,Other activities of the construction industry,8960,5.474
2005,Other activities of the construction industry,9355,5.353
2006,Other activities of the construction industry,9470,5.31
2007,Other activities of the construction industry,7985,5.405
2008,Other activities of the construction industry,8980,5.342
2009,Other activities of the construction industry,11215,5.159
2010,Other activities of the construction industry,11505,5.211
2011,Other activities of the construction industry,12145,5.137
2012,Other activities of the construction industry,12840,5.252
2013,Other activities of the construction industry,13965,5.162
2014,Other activities of the construction industry,14080,5.148
2015,Other activities of the construction industry,15505,5.222
2016,Other activities of the construction industry,14670,5.175
2017,Other activities of the construction industry,14595,5.112
2018,Other activities of the construction industry,15475,5.148
2019,Other activities of the construction industry,15915,5.173
1997,Food manufacturing,207130,5.255
1998,Food manufacturing,207650,5.23
1999,Food manufacturing,209070,5.258
2000,Food manufacturing,194960,5.255
2001,Food manufacturing,202400,5.255
2002,Food manufacturing,204140,5.195
2003,Food manufacturing,216530,5.178
2004,Food manufacturing,216170,5.159
2005,Food manufacturing,220100,5.181
2006,Food manufacturing,223075,5.2
2007,Food manufacturing,218780,5.227
2008,Food manufacturing,220350,5.255
2009,Food manufacturing,227550,5.145
2010,Food manufacturing,233020,5.189
2011,Food manufacturing,235875,5.148
2012,Food manufacturing,237605,5.145
2013,Food manufacturing,227275,5.173
2014,Food manufacturing,219345,5.156
2015,Food manufacturing,215460,5.175
2016,Food manufacturing,223930,5.167
2017,Food manufacturing,239140,5.079
2018,Food manufacturing,243585,5.173
2019,Food manufacturing,254360,5.151
1997,Beverage and tobacco product manufacturing,29870,5.43
1998,Beverage and tobacco product manufacturing,29400,5.345
1999,Beverage and tobacco product manufacturing,26595,5.23
2000,Beverage and tobacco product manufacturing,25040,5.29
2001,Beverage and tobacco product manufacturing,24160,5.332
2002,Beverage and tobacco product manufacturing,28215,5.129
2003,Beverage and tobacco product manufacturing,29690,5.211
2004,Beverage and tobacco product manufacturing,30640,5.307
2005,Beverage and tobacco product manufacturing,29735,5.375
2006,Beverage and tobacco product manufacturing,30745,5.255
2007,Beverage and tobacco product manufacturing,33050,5.205
2008,Beverage and tobacco product manufacturing,34195,5.093
2009,Beverage and tobacco product manufacturing,34995,5.055
2010,Beverage and tobacco product manufacturing,34545,5.156
2011,Beverage and tobacco product manufacturing,35330,5.121
2012,Beverage and tobacco product manufacturing,37590,5.222
2013,Beverage and tobacco product manufacturing,37040,5.137
2014,Beverage and tobacco product manufacturing,39245,5.118
2015,Beverage and tobacco product manufacturing,38035,5.058
2016,Beverage and tobacco product manufacturing,41240,5.063
2017,Beverage and tobacco product manufacturing,42945,5.101
2018,Beverage and tobacco product manufacturing,45265,5.014
2019,Beverage and tobacco product manufacturing,50260,5.055
1997,Textile and textile product mills,45210,5.512
1998,Textile and textile product mills,47075,5.353
1999,Textile and textile product mills,45885,5.422
2000,Textile and textile product mills,47975,5.378
2001,Textile and textile product mills,46825,5.342
2002,Textile and textile product mills,45845,5.414
2003,Textile and textile product mills,43300,5.263
2004,Textile and textile product mills,43210,5.211
2005,Textile and textile product mills,40240,5.214
2006,Textile and textile product mills,34860,5.296
2007,Textile and textile product mills,31075,5.11
2008,Textile and textile product mills,24590,5.271
2009,Textile and textile product mills,21510,5.142
2010,Textile and textile product mills,21190,5.033
2011,Textile and textile product mills,20620,4.997
2012,Textile and textile product mills,19550,5.044
2013,Textile and textile product mills,18835,5.068
2014,Textile and textile product mills,19790,5.014
2015,Textile and textile product mills,19365,5.079
2016,Textile and textile product mills,19670,5.096
2017,Textile and textile product mills,18475,5.088
2018,Textile and textile product mills,17770,5.088
2019,Textile and textile product mills,17940,4.937
1997,Clothing and leather and allied product manufacturing,103140,5.263
1998,Clothing and leather and allied product manufacturing,101850,5.23
1999,Clothing and leather and allied product manufacturing,100700,5.219
2000,Clothing and leather and allied product manufacturing,109945,5.214
2001,Clothing and leather and allied product manufacturing,105015,5.219
2002,Clothing and leather and allied product manufacturing,98320,5.107
2003,Clothing and leather and allied product manufacturing,92255,5.063
2004,Clothing and leather and allied product manufacturing,81810,5.151
2005,Clothing and leather and allied product manufacturing,70955,5.101
2006,Clothing and leather and allied product manufacturing,64700,4.97
2007,Clothing and leather and allied product manufacturing,56700,4.995
2008,Clothing and leather and allied product manufacturing,45305,4.975
2009,Clothing and leather and allied product manufacturing,39430,4.904
2010,Clothing and leather and allied product manufacturing,34550,5.005
2011,Clothing and leather and allied product manufacturing,33880,4.871
2012,Clothing and leather and allied product manufacturing,29070,4.882
2013,Clothing and leather and allied product manufacturing,26955,4.926
2014,Clothing and leather and allied product manufacturing,28275,4.929
2015,Clothing and leather and allied product manufacturing,26940,4.978
2016,Clothing and leather and allied product manufacturing,25835,4.91
2017,Clothing and leather and allied product manufacturing,24610,4.934
2018,Clothing and leather and allied product manufacturing,23700,4.838
2019,Clothing and leather and allied product manufacturing,24085,4.893
1997,Wood product manufacturing,153260,5.458
1998,Wood product manufacturing,147570,5.397
1999,Wood product manufacturing,162890,5.419
2000,Wood product manufacturing,156180,5.411
2001,Wood product manufacturing,147820,5.408
2002,Wood product manufacturing,151340,5.397
2003,Wood product manufacturing,148580,5.384
2004,Wood product manufacturing,159260,5.356
2005,Wood product manufacturing,150590,5.348
2006,Wood product manufacturing,133810,5.342
2007,Wood product manufacturing,113195,5.312
2008,Wood product manufacturing,100495,5.301
2009,Wood product manufacturing,86345,5.181
2010,Wood product manufacturing,90880,5.321
2011,Wood product manufacturing,86400,5.274
2012,Wood product manufacturing,88170,5.285
2013,Wood product manufacturing,91390,5.329
2014,Wood product manufacturing,90625,5.299
2015,Wood product manufacturing,91080,5.395
2016,Wood product manufacturing,96610,5.321
2017,Wood product manufacturing,98655,5.252
2018,Wood product manufacturing,99215,5.315
2019,Wood product manufacturing,96655,5.312
1997,Paper manufacturing,104710,5.378
1998,Paper manufacturing,100780,5.422
1999,Paper manufacturing,98250,5.381
2000,Paper manufacturing,105870,5.345
2001,Paper manufacturing,104105,5.386
2002,Paper manufacturing,96120,5.337
2003,Paper manufacturing,91770,5.285
2004,Paper manufacturing,90490,5.386
2005,Paper manufacturing,89625,5.214
2006,Paper manufacturing,82700,5.301
2007,Paper manufacturing,77820,5.318
2008,Paper manufacturing,70215,5.312
2009,Paper manufacturing,64660,5.222
2010,Paper manufacturing,64210,5.31
2011,Paper manufacturing,60180,5.307
2012,Paper manufacturing,57795,5.244
2013,Paper manufacturing,58085,5.345
2014,Paper manufacturing,58015,5.282
2015,Paper manufacturing,57050,5.271
2016,Paper manufacturing,54415,5.359
2017,Paper manufacturing,56230,5.329
2018,Paper manufacturing,56150,5.362
2019,Paper manufacturing,52765,5.34
1997,Printing and related support activities,80115,5.249
1998,Printing and related support activities,78350,5.386
1999,Printing and related support activities,78430,5.353
2000,Printing and related support activities,82230,5.315
2001,Printing and related support activities,91115,5.241
2002,Printing and related support activities,87620,5.271
2003,Printing and related support activities,88405,5.241
2004,Printing and related support activities,86120,5.285
2005,Printing and related support activities,85530,5.244
2006,Printing and related support activities,82155,5.189
2007,Printing and related support activities,82805,5.132
2008,Printing and related support activities,76265,5.079
2009,Printing and related support activities,67180,5.038
2010,Printing and related support activities,63945,5.118
2011,Printing and related support activities,62750,5.019
2012,Printing and related support activities,61015,5.055
2013,Printing and related support activities,58165,5.214
2014,Printing and related support activities,57050,5.132
2015,Printing and related support activities,54750,5.052
2016,Printing and related support activities,54495,5.003
2017,Printing and related support activities,51770,5.134
2018,Printing and related support activities,52320,5.052
2019,Printing and related support activities,53140,4.863
1997,Petroleum and coal product manufacturing,6230,5.485
1998,Petroleum and coal product manufacturing,4545,5.762
1999,Petroleum and coal product manufacturing,7040,5.534
2000,Petroleum and coal product manufacturing,6750,5.444
2001,Petroleum and coal product manufacturing,8540,5.589
2002,Petroleum and coal product manufacturing,7955,5.581
2003,Petroleum and coal product manufacturing,10140,5.644
2004,Petroleum and coal product manufacturing,11300,5.534
2005,Petroleum and coal product manufacturing,11860,5.425
2006,Petroleum and coal product manufacturing,12350,5.66
2007,Petroleum and coal product manufacturing,14830,5.556
2008,Petroleum and coal product manufacturing,16015,5.573
2009,Petroleum and coal product manufacturing,16305,5.493
2010,Petroleum and coal product manufacturing,16900,5.493
2011,Petroleum and coal product manufacturing,16525,5.644
2012,Petroleum and coal product manufacturing,15860,5.573
2013,Petroleum and coal product manufacturing,12575,5.597
2014,Petroleum and coal product manufacturing,12440,5.542
2015,Petroleum and coal product manufacturing,12965,5.556
2016,Petroleum and coal product manufacturing,13190,5.463
2017,Petroleum and coal product manufacturing,14645,5.488
2018,Petroleum and coal product manufacturing,15710,5.395
2019,Petroleum and coal product manufacturing,16070,5.66
1997,Chemical manufacturing,88380,5.433
1998,Chemical manufacturing,85220,5.395
1999,Chemical manufacturing,84600,5.427
2000,Chemical manufacturing,78555,5.427
2001,Chemical manufacturing,82745,5.364
2002,Chemical manufacturing,85940,5.29
2003,Chemical manufacturing,93285,5.312
2004,Chemical manufacturing,89865,5.362
2005,Chemical manufacturing,87555,5.312
2006,Chemical manufacturing,88205,5.37
2007,Chemical manufacturing,82350,5.362
2008,Chemical manufacturing,84185,5.332
2009,Chemical manufacturing,81725,5.299
2010,Chemical manufacturing,83415,5.4
2011,Chemical manufacturing,84265,5.255
2012,Chemical manufacturing,83390,5.378
2013,Chemical manufacturing,81010,5.29
2014,Chemical manufacturing,85205,5.304
2015,Chemical manufacturing,88785,5.337
2016,Chemical manufacturing,88490,5.266
2017,Chemical manufacturing,91320,5.211
2018,Chemical manufacturing,89635,5.296
2019,Chemical manufacturing,92520,5.208
1997,Plastics and rubber products manufacturing,106075,5.452
1998,Plastics and rubber products manufacturing,108705,5.515
1999,Plastics and rubber products manufacturing,109770,5.436
2000,Plastics and rubber products manufacturing,118570,5.425
2001,Plastics and rubber products manufacturing,122260,5.414
2002,Plastics and rubber products manufacturing,128195,5.414
2003,Plastics and rubber products manufacturing,131065,5.384
2004,Plastics and rubber products manufacturing,129035,5.345
2005,Plastics and rubber products manufacturing,128885,5.359
2006,Plastics and rubber products manufacturing,119525,5.34
2007,Plastics and rubber products manufacturing,115755,5.405
2008,Plastics and rubber products manufacturing,107790,5.356
2009,Plastics and rubber products manufacturing,92430,5.263
2010,Plastics and rubber products manufacturing,94690,5.392
2011,Plastics and rubber products manufacturing,97215,5.422
2012,Plastics and rubber products manufacturing,96070,5.4
2013,Plastics and rubber products manufacturing,93005,5.389
2014,Plastics and rubber products manufacturing,99370,5.359
2015,Plastics and rubber products manufacturing,102000,5.375
2016,Plastics and rubber products manufacturing,103155,5.329
2017,Plastics and rubber products manufacturing,102970,5.175
2018,Plastics and rubber products manufacturing,101860,5.359
2019,Plastics and rubber products manufacturing,102470,5.271
1997,Non-metallic mineral product manufacturing,46275,5.567
1998,Non-metallic mineral product manufacturing,48115,5.562
1999,Non-metallic mineral product manufacturing,45600,5.551
2000,Non-metallic mineral product manufacturing,47785,5.49
2001,Non-metallic mineral product manufacturing,49505,5.408
2002,Non-metallic mineral product manufacturing,50235,5.463
2003,Non-metallic mineral product manufacturing,52890,5.452
2004,Non-metallic mineral product manufacturing,53340,5.518
2005,Non-metallic mineral product manufacturing,54600,5.436
2006,Non-metallic mineral product manufacturing,55410,5.534
2007,Non-metallic mineral product manufacturing,55830,5.523
2008,Non-metallic mineral product manufacturing,53470,5.427
2009,Non-metallic mineral product manufacturing,50115,5.408
2010,Non-metallic mineral product manufacturing,52370,5.433
2011,Non-metallic mineral product manufacturing,52025,5.581
2012,Non-metallic mineral product manufacturing,52750,5.529
2013,Non-metallic mineral product manufacturing,52945,5.504
2014,Non-metallic mineral product manufacturing,50920,5.367
2015,Non-metallic mineral product manufacturing,54085,5.458
2016,Non-metallic mineral product manufacturing,52205,5.447
2017,Non-metallic mineral product manufacturing,53830,5.348
2018,Non-metallic mineral product manufacturing,53615,5.515
2019,Non-metallic mineral product manufacturing,54210,5.389
1997,Primary metal manufacturing,85650,5.523
1998,Primary metal manufacturing,87655,5.46
1999,Primary metal manufacturing,83835,5.43
2000,Primary metal manufacturing,84355,5.411
2001,Primary metal manufacturing,73420,5.34
2002,Primary metal manufacturing,81350,5.427
2003,Primary metal manufacturing,79960,5.304
2004,Primary metal manufacturing,81005,5.433
2005,Primary metal manufacturing,78665,5.342
2006,Primary metal manufacturing,80585,5.373
2007,Primary metal manufacturing,79950,5.51
2008,Primary metal manufacturing,79005,5.389
2009,Primary metal manufacturing,61785,5.26
2010,Primary metal manufacturing,67785,5.34
2011,Primary metal manufacturing,74055,5.416
2012,Primary metal manufacturing,65340,5.427
2013,Primary metal manufacturing,65130,5.312
2014,Primary metal manufacturing,63780,5.452
2015,Primary metal manufacturing,64050,5.444
2016,Primary metal manufacturing,62755,5.46
2017,Primary metal manufacturing,63780,5.444
2018,Primary metal manufacturing,63880,5.397
2019,Primary metal manufacturing,66075,5.408
1997,Fabricated metal product manufacturing,143045,5.573
1998,Fabricated metal product manufacturing,149515,5.553
1999,Fabricated metal product manufacturing,154045,5.526
2000,Fabricated metal product manufacturing,179460,5.479
2001,Fabricated metal product manufacturing,178635,5.466
2002,Fabricated metal product manufacturing,183800,5.408
2003,Fabricated metal product manufacturing,185470,5.378
2004,Fabricated metal product manufacturing,181310,5.458
2005,Fabricated metal product manufacturing,186615,5.403
2006,Fabricated metal product manufacturing,183475,5.416
2007,Fabricated metal product manufacturing,183140,5.43
2008,Fabricated metal product manufacturing,175595,5.386
2009,Fabricated metal product manufacturing,156465,5.293
2010,Fabricated metal product manufacturing,152570,5.427
2011,Fabricated metal product manufacturing,160385,5.359
2012,Fabricated metal product manufacturing,161970,5.397
2013,Fabricated metal product manufacturing,164145,5.321
2014,Fabricated metal product manufacturing,167905,5.364
2015,Fabricated metal product manufacturing,161315,5.356
2016,Fabricated metal product manufacturing,160985,5.375
2017,Fabricated metal product manufacturing,159580,5.307
2018,Fabricated metal product manufacturing,165230,5.373
2019,Fabricated metal product manufacturing,174495,5.214
1997,Machinery manufacturing,146430,5.677
1998,Machinery manufacturing,151685,5.564
1999,Machinery manufacturing,142010,5.622
2000,Machinery manufacturing,153800,5.611
2001,Machinery manufacturing,153965,5.562
2002,Machinery manufacturing,150735,5.595
2003,Machinery manufacturing,149530,5.523
2004,Machinery manufacturing,150910,5.556
2005,Machinery manufacturing,154585,5.49
2006,Machinery manufacturing,153470,5.553
2007,Machinery manufacturing,160040,5.49
2008,Machinery manufacturing,149560,5.545
2009,Machinery manufacturing,131245,5.326
2010,Machinery manufacturing,126300,5.466
2011,Machinery manufacturing,139250,5.54
2012,Machinery manufacturing,142840,5.449
