countryISO3,countryName,year,classification,economicActivity,employment,hoursWorked,sourceEmp,sourceNoteEmp,classifNoteEmp,statusNoteEmp,indicatorNoteEmp,sourceHrs,sourceNoteHrs,statusNoteHrs,statusNoteHrs,indicatorNoteHrs
ABW,Aruba,2000,ISIC-Rev.3.1,"wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",7112.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,hotels and restaurants,7651.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,"transport, storage and communications",2905.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,financial intermediation,1485.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,"real estate, renting and business activities",3722.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,public administration and defence; compulsory social security,3528.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,education,1431.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,health and social work,1986.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,"other community, social and personal service activities",2776.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,activities of private households as employers and undifferentiated production activities of private households,1870.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,extraterritorial organizations and bodies,45.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2000,ISIC-Rev.3.1,not elsewhere classified,324.0,,PC - Population and Housing Census,Data reference period: October,,,,,,,,
ABW,Aruba,2010,ISIC-Rev.3.1,"agriculture, hunting and forestry",277.0,5.221428571428571,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,fishing,19.0,4.285714285714286,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,mining and quarrying,24.0,1.4285714285714286,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,manufacturing,2334.0,5.804285714285714,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,"electricity, gas and water supply",529.0,5.5371428571428565,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,construction,3851.0,5.4628571428571435,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,"wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",7523.0,5.644285714285714,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,hotels and restaurants,9526.0,6.301428571428572,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,"transport, storage and communications",2475.0,5.385714285714286,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,financial intermediation,1593.0,5.388571428571429,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,"real estate, renting and business activities",4224.0,5.894285714285714,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,public administration and defence; compulsory social security,4570.0,5.4557142857142855,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,education,2078.0,4.601428571428571,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,health and social work,2526.0,5.471428571428571,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,"other community, social and personal service activities",3492.0,5.364285714285714,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,activities of private households as employers and undifferentiated production activities of private households,1242.0,5.125714285714286,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
ABW,Aruba,2010,ISIC-Rev.3.1,extraterritorial organizations and bodies,14.0,,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,,,,,
ABW,Aruba,2010,ISIC-Rev.3.1,not elsewhere classified,227.0,3.607142857142857,PC - Population and Housing Census,Data reference period: September | Age coverage - minimum age: 14 years old,,,,PC - Population and Housing Census,Data reference period: September,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,"agriculture, hunting and forestry",2824353.0,4.525714285714286,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,mining and quarrying,8384.0,5.994285714285715,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,manufacturing,513772.00000000006,5.1657142857142855,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,"electricity, gas and water supply",2861.0,5.314285714285715,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,Unreliable,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,construction,864933.0,5.687142857142858,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,"wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",721590.0,7.57,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,hotels and restaurants,21146.0,8.398571428571428,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,"transport, storage and communications",321192.0,6.865714285714286,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,financial intermediation,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,Unreliable,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,"real estate, renting and business activities",22365.0,7.564285714285715,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,public administration and defence; compulsory social security,448967.0,7.211428571428571,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,education,246433.0,4.574285714285715,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,health and social work,70553.0,6.7,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,"other community, social and personal service activities",216605.0,6.7299999999999995,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,activities of private households as employers and undifferentiated production activities of private households,2322.0,5.508571428571429,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,Unreliable,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,extraterritorial organizations and bodies,18353.0,6.701428571428571,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2014,ISIC-Rev.3.1,not elsewhere classified,698473.0,2.3299999999999996,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,agriculture; forestry and fishing,2740235.0,4.2371428571428575,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,mining and quarrying,11977.0,6.275714285714286,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,manufacturing,490856.0,4.845714285714286,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,"electricity; gas, steam and air conditioning supply",4935.0,7.505714285714285,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,"water supply; sewerage, waste management and remediation activities",,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,Unreliable,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,construction,614907.0,5.964285714285714,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,wholesale and retail trade; repair of motor vehicles and motorcycles,665774.0,7.409999999999999,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,transportation and storage,362755.0,6.887142857142857,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,accommodation and food service activities,25373.0,7.291428571428571,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,information and communication,4648.0,6.402857142857143,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,financial and insurance activities,5599.0,6.975714285714285,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,real estate activities,59228.0,7.612857142857143,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,public administration and defence; compulsory social security,390058.0,7.502857142857144,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,human health and social work activities,650460.0,5.418571428571428,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,"arts, entertainment and recreation",2602.0,5.49,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,Unreliable,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,147766.0,6.757142857142857,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,activities of extraterritorial organizations and bodies,51931.0,7.278571428571429,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2017,ISIC-Rev.4,not elsewhere classified,167172.0,6.187142857142858,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,,HIES - Living Conditions Survey,Repository: ILO-STATISTICS - Micro data processing,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,agriculture; forestry and fishing,1934691.0,4.625714285714286,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,mining and quarrying,30685.0,6.027142857142857,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,manufacturing,491404.0,4.897142857142858,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,"water supply; sewerage, waste management and remediation activities",25933.0,5.874285714285714,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,Unreliable,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,construction,917832.0,5.195714285714286,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,wholesale and retail trade; repair of motor vehicles and motorcycles,901420.0,6.845714285714286,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,transportation and storage,401642.0,6.185714285714285,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,accommodation and food service activities,48175.0,5.135714285714286,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,information and communication,19257.0,6.76,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,Unreliable,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,financial and insurance activities,4881.0,5.981428571428571,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,Unreliable,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,real estate activities,7974.0,5.344285714285713,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,Unreliable,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,administrative and support service activities,43292.0,7.965714285714285,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,public administration and defence; compulsory social security,436096.0,6.317142857142857,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,education,264806.0,4.097142857142857,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,human health and social work activities,68070.0,5.38,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,"arts, entertainment and recreation",,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,Unreliable,,,,,,
AFG,Afghanistan,2021,ISIC-Rev.4,other service activities,41882.0,5.062857142857142,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,activities of extraterritorial organizations and bodies,9614.0,8.137142857142857,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,Unreliable,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,Unreliable,Unreliable,Job coverage: Main job currently held
AFG,Afghanistan,2021,ISIC-Rev.4,not elsewhere classified,2049821.0,3.4114285714285715,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,,,Job coverage: Main job currently held
