tier1,tier2,hours_per_day
Community services and help to other households,Involvement in civic responsibility,0.001520582
Community services and help to other households,Caring for non-household children: spontaneous,0.005464488
Community services and help to other households,Caring for non-household children: prompted,0.000137437
Community services and help to other households,Caring for non-household adults,0.003055368
Community services and help to other households,Other informal help to other households,0.013647643
Community services and help to other households,Travel related to community services,0.010975763
Community services and help to other households,Community services n.e.c*,0.003479794
Learning,"School, technikon, college, university attendance",0.673128305
Learning,Homework,0.241187725
Learning,"Additional study, non-formal education",0.023174675
Learning,Work-related training,0.003872889
Learning,Travel related to learning,0.174011831
Learning,Waiting for learning travel,0.004225464
Learning,Learning n.e.c,0.00908339
Social and cultural activities,Participating in cultural activities,0.062774979
Social and cultural activities,Participating in religious activities,0.245005055
Social and cultural activities,Socialising with family,0.664523648
Social and cultural activities,Socialising with non-family,0.608721625
Social and cultural activities,Socialising with both family & non-family,0.039025491
Social and cultural activities,"Arts, music, hobbies",0.011819602
Social and cultural activities,Indoor & outdoor sports participation,0.112969647
Social and cultural activities,Games & other pastimes,0.316620297
Social and cultural activities,"Spectator to sports, exhibitions, concerts",0.021001579
Social and cultural activities,Travel related to social & cultural,0.31965812
Social and cultural activities,Waiting for social & cultural travel,0.002785924
Social and cultural activities,"Social, cultural, recreational n.e.c",0.009360353
Mass media use,Reading,0.086299722
Mass media use,Watching TV & video,1.969901663
Mass media use,Listening to music or radio,0.207015565
Mass media use,Accessing information by computer,0.018691464
Mass media use,Visiting library,0.002643056
Mass media use,Travel related to mass media use,0.00392636
Mass media use,Mass media use & entertainment n.e.c,0.004702108
Personal care and self-maintenance,Sleep & related activities,9.361266928
Personal care and self-maintenance,Eating & drinking,1.250697212
Personal care and self-maintenance,Personal hygiene & health,1.04624199
Personal care and self-maintenance,Receiving medical/personal care from professionals,0.01463811
Personal care and self-maintenance,Receiving medical/personal care from household members,0.002889106
Personal care and self-maintenance,Receiving medical/personal care from non-household members,0.001042685
Personal care and self-maintenance,Waiting for medical/personal care,0.019010619
Personal care and self-maintenance,"Doing nothing, rest & relaxation",0.776840364
Personal care and self-maintenance,Individual religious practice,0.030352324
Personal care and self-maintenance,Travel related to personal care,0.039013794
Personal care and self-maintenance,Personal care & self-maintenance n.e.c,0.038951133
